name,code,pop
Germany,DEU,217.7
Sweden,SWE,68.5
Norway,NOE,37.7
Spain,ESP,70.7
France,FRA,196.3
Netherlands,NLD,104.5
UK,GBR,64.3
Italy,ITA,46.4
Finland,FIN,15.9
Austria,AUT,14.3
Switzerland,CHE,10.3
Hungary,HUN,5.1
Ireland,IRL,16.4
Russia,RUS,2.6
Poland,POL,7.1
Portugal,PRT,9.6
Iceland,ISL,2.1
Greece,GRC,2.9
Latvia,LVA,0.4
Slovakia,SVK,0.7
Ukraine,UKR,1.2
Serbia,SRB,1.2
Lithuania,LTU,0.8
Estonia ,EST,0.1
Belgium,BEL,25.0
Denmark,DNK,25.8
Slovenia ,SVN,0.1
Romania,ROU,0.4
